Username,Name,Followers,Following,Investor Score,Can DM,Reason,URL
b2wicey,𝐁𝐫𝐚𝐝,1327,75,85,True,"Authentic human with personal name 'Brad', specific focus on $TSLA investing and Tesla news, high follower count and tweet volume indicate active engagement, suitable for DM as a peer investor in relevant topics.",https://x.com/b2wicey
usmanyaseen,Usman Yaseen,1074,727,85,True,"Authentic human with unique bio focusing on markets, stocks, macro, geopolitics, and theology, indicating genuine interests and expertise. High investor signal due to keywords like #Markets and #Stocks, suggesting potential as a peer or investor in financial/tech domains. Suitable for DM as a professional contact.",https://x.com/usmanyaseen
BiblioInversor,Biblio Inversor,964,366,85,True,"Authentic human profile with unique bio focused on investment analysis ('Inversor | Analizo empresas y te las cuento'), includes personal engagement ('Tesis completas en mi DM'), high tweet count (8005) indicates active user, suitable for DM as a professional peer in investing.",https://x.com/BiblioInversor
MateoVanhorn,HodlonautMateo,929,1454,85,True,"Authentic human with unique bio referencing specific projects (Protonic Nickelate, Grok Imagine, Macrohard/Digital Optimus, Tesla AI/xAI) and personal touch (War Eagle, emojis). Strong investor/alpha signals from tech/crypto/AI keywords (Tesla, xAI, scaling, collaborations) and entrepreneurial tone, suitable for DM engagement.",https://x.com/MateoVanhorn
dishah81,Divyesh,923,232,85,True,"Authentic human with unique personal details (Divyesh), specific interests in tech stocks, Tesla, options, and robotics. Strong investor signals with keywords like 'Tech Stock Investor', 'Tesla Bull', and 'Stock market Bull'. High tweet count (8677) indicates active engagement, and bio explicitly states no crypto/forex, adding credibility. Suitable for DM as a professional peer in investing.",https://x.com/dishah81
CyberTruck_Mike,Mike ⚔️🦅,851,574,85,True,"Authentic human with personal details (CyberTruck owner, $TSLA holder, options trader), strong investor signals in bio (Tesla-related, trading), and suitable for DM as a peer investor.",https://x.com/CyberTruck_Mike
ricmrodrigues,Ricardo Rodrigues,836,1113,85,True,"Authentic human with personal name, unique bio (Albert Einstein quote), specific mention of Tesla investor, high tweet count indicating active engagement, and clear investor signal suitable for DM outreach.",https://x.com/ricmrodrigues
Raghavdiv,Raghav Reddy,827,1311,85,True,"Authentic human with personal interests in Tesla, SpaceX, and specific investments (TSLA, Rocket lab, Nvidia). Bio includes unique details like Tesla ownership and referral links, indicating genuine engagement. High investor signal from keywords like 'investor' and focus on tech/equity, suitable for DM from a professional peer.",https://x.com/Raghavdiv
onanitbranding,Onanit,812,160,85,True,"Bio includes 'Entrepreneur | Investor' with personal touch ('Proud American'), indicating authenticity and strong investor/alpha signals. High tweet count suggests active engagement, suitable for DM from a professional peer.",https://x.com/onanitbranding
xsaltwedgex,🤖🙌 Teslageschwindigkeit 🙌🤖,794,184,85,True,"Authentic human with unique bio focused on $TSLA investment strategy, clear long-term commitment, and specific interests in electric vehicles and batteries. High investor signal due to explicit mention of $TSLA and investment behavior, suitable for DM from a professional peer.",https://x.com/xsaltwedgex
JuleskwWhite,Jules 🚗🔌🐈‍⬛❤️,720,566,85,True,"Authentic human with personal details (wife, stepmom, diver, travel enthusiast), clear investor signal via '@Tesla investor & owner' and support for Elon, suitable for DM as a peer investor.",https://x.com/JuleskwWhite
steph_rueff,Stéphane Rueff,682,1477,85,True,"Authentic human with a unique name and bio focused on long-term value investing, indicating genuine investor intent and suitability for professional DM engagement.",https://x.com/steph_rueff
Henrik_SD,Henrik ♻️,654,638,85,True,"Authentic human profile with unique personal details (name Henrik, specific interests in Tesla/SpaceX/Elon Musk/Crypto), strong investor signals (Entrepreneur and investor, ambassador roles), and high DM suitability as a peer for potential professional engagement.",https://x.com/Henrik_SD
markgarlow,Mark Garlow,550,408,85,True,"Authentic human with personal interests (golf, fishing) and clear investor signal ($TSLA investor, owner). Suitable for DM as a peer investor.",https://x.com/markgarlow
techprimitives,Sandy,511,315,85,True,"Bio includes personal details ('truth seeker', 'employee turned entrepreneur turned builder'), specific interests ('batman🦇'), and strong investor signals ('investor', 'entrepreneur', 'builder'). Follower stats and tweet count suggest authentic activity, not bot-like patterns.",https://x.com/techprimitives
DarkStoneCap,Dark Stone Capital,509,119,85,True,"Authentic human profile with specific investment focus on AI-driven strategies and stocks like $TSLA, $NVDA, $RIVN, indicating high investor/alpha signal; suitable for DM as a professional peer in finance/tech.",https://x.com/DarkStoneCap
gilles_bogaert,Gilles Bogaert,487,372,85,True,"Authentic human with unique bio containing personal details (polytechnic, STEM, BSC, MSc^2, MBA) and specific interests (AI, ML, NLP/NLU). Strong investor signals from keywords like 'investor', 'fundamental', 'conviction', and educational/professional credentials. High tweet count (14258) indicates active engagement, suitable for DM from a professional peer.",https://x.com/gilles_bogaert
alvsnarv,Al not ai,472,142,85,True,"Authentic human with personal Tesla ownership details (Model Y, Cybertruck), long-term investment signal ('TSLA bagholder since '17'), high tweet volume suggests active user, bio includes investor-relevant keywords (TSLA, HODLing) and specific interests, suitable for DM as a peer in Tesla/EV community.",https://x.com/alvsnarv
James14242834,Satoshi X,440,594,85,True,"Authentic human with unique bio detailing specific expertise in Bitcoin blockchain since 2009 and renewable energy engineering, indicating genuine personal interests. High investor signal from keywords like 'Bitcoin blockchain technology expert' and 'Mining bitcoin', suggesting crypto/tech investor or builder alignment. DM suitable as a peer in tech/crypto space.",https://x.com/James14242834
Prettysoulherb,Prettysoul,414,31,85,True,"Authentic human with unique personal details (Tesla, PLTR, SoFi investments, love for philosophers, red wines, and nature). Strong investor signals from bio keywords (investor, Tesla, PLTR, SoFi) and engagement (high tweet count). Suitable for DM as a peer investor.",https://x.com/Prettysoulherb
bentruong,Ben Truong,341,362,85,True,"Authentic human with personal interests (Hiker, Photographer), clear investor/entrepreneur keywords (Entrepreneur, Investor, Coach), and specific high-value tech focus (AI, Humanoid Robotics, Self Driving Car, Tesla, Nvidia). Suitable for DM as a professional peer.",https://x.com/bentruong
Mcog94,Mariano Olivera,286,310,85,True,"Authentic human with unique personal details (name, specific interests in cybersec, energy, AI, fintech, physics, software, M&A, and soccer), clear investor signals (US RE Investor, Senior Tech Exec, mentions of BTC/ETH price and Central Banks), and suitable for DM as a professional peer in tech and investment fields.",https://x.com/Mcog94
LeeMatt17631,ThunderX,275,512,85,True,"Authentic human with specific personal details (Tesla Model 3 collection date, advocacy for FSD in specific locations), strong investor signals (focus on $TSLA and $EOSE, indicating equity interest), and suitable for DM as a peer investor in Tesla/crypto topics.",https://x.com/LeeMatt17631
AiRTSLA,AiRTSLA,267,214,85,True,"Authentic human with unique bio focused on Tesla, SpaceX, and tech interests; high investor signal from keywords like Tesla, $TSLA, and tech; suitable for DM as a potential peer in investment/tech discussions.",https://x.com/AiRTSLA
j03labadawa,DM for Tesla Market Pulse 🚀📈,269,53,85,True,"Authentic human with unique bio containing personal details (e.g., 'Married to my Cybertruck'), specific interests in Tesla and investments, and keywords like 'INVESTOR' and '$TSLA'. High investor signal due to focus on Tesla shares, Dogecoin, BTC, ETH, and support for Elon Musk, making them suitable for DM from a professional peer in investment contexts.",https://x.com/j03labadawa
sLachapelle72,sLachapelle,226,778,85,True,"Bio includes 'Investor' and 'fan of disruptive tech', which are strong investor/alpha signals. Username and name appear personal and non-generic, suggesting authenticity. Follower/following ratio and tweet count are plausible for a human user.",https://x.com/sLachapelle72
QD_1987,K&D Capital Management,228,396,85,True,"Authentic human profile with professional details: username suggests personal initials/year, name indicates a capital management firm, bio specifies a long/short investment strategy, and stats show moderate engagement. Strong investor signal from keywords like 'Capital Management' and strategy mention, suitable for DM from a peer.",https://x.com/QD_1987
owings357,OWINGS,133,128,85,True,"Authentic human with specific personal details (Model 3 Owner, Tesla investor, Game developer), clear investor signals (Tesla investor), and suitable for DM as a professional peer in tech/investing.",https://x.com/owings357
InvestingAlpha1,しろ@投資🇺🇸💹10X株🚀,121,1122,85,True,"Authentic human with unique bio containing personal interests (investment, Tesla, Bitcoin, physical metal trading, cultural topics), location-specific (U.S. flag), and investor signals (keywords: 投資, Tesla $TSLA, Bitcoin, trader). High following count suggests active engagement, suitable for DM from a professional peer.",https://x.com/InvestingAlpha1
Christopherhwan,Christopher hwang,86,947,85,True,"Authentic human with personal investment focus on Tesla and NIO, high investor signal from bio keywords like 'investor', 'TSLA', and specific holdings, suitable for DM as a peer investor.",https://x.com/Christopherhwan
nikkitson,Kemyst,85,91,85,True,"Bio includes specific investor keywords ('Founder', 'Business Technologist', '$TSLA investor'), indicating genuine professional identity and potential alpha signal. Authenticity supported by unique name and bio details, not generic or bot-like. DM suitability high as a peer in business/tech/investing.",https://x.com/nikkitson
eliranngr,EliranNGR,1340,471,75,True,"Authentic human with unique personal details (Ex IT Architect, specific interests in Tesla, SpaceX, astrophysics). Strong investor/alpha signals from Tesla, Elon Musk, and tech-related affiliations, indicating potential as a peer or investor in tech/innovation sectors.",https://x.com/eliranngr
gustavoadrn,Gustavo Adrian,1189,988,75,True,"Authentic human with personal name and bio referencing Elon Musk (rockets/electric cars), indicating tech/entrepreneurial interest. High tweet count suggests active user, suitable for DM as potential peer in tech/investment circles.",https://x.com/gustavoadrn
SQIRREL666,SQIRREL,910,131,75,True,"Authentic human with unique personal interests (car enthusiast, Tesla fanatic, retired entrepreneur, glamping lover) and specific ownership details (Cybertruck and Model Y). High investor signal due to 'retired entrepreneur' and Tesla focus, indicating potential wealth and investment mindset. Suitable for DM as a peer in entrepreneurial/tech circles.",https://x.com/SQIRREL666
teslasimulator,CyberSimulator 🙃 𝕏,744,828,75,True,"Authentic human with unique bio referencing Tesla and simulation, high tweet volume suggests active user, strong investor signal from $TSLA mention and tech/crypto interest, suitable for DM as peer in investment/tech space.",https://x.com/teslasimulator
salvopolise,Salvatore Polise,698,1420,75,True,"Authentic human with personal name and specific interests in Tesla and space, indicating potential investor alignment with tech/equity themes.",https://x.com/salvopolise
bitstheen,STHEEN,704,1107,75,True,"Authentic human with unique bio combining tech, finance, and Bitcoin interests; high investor signal from keywords like 'finance', 'sound money ₿', and 'robot overlord maximalist' suggesting crypto/tech focus; suitable for DM as a peer in tech/finance space.",https://x.com/bitstheen
elonteam42069,Optimus Economy 👀,565,1021,75,True,"Authentic human with personal details (e.g., 'Some dude on X', 'Ex coding warrior'), specific investment history ('HODLing $tsla since 2014'), and investor signals (Tesla focus, retirement mention). High follower-to-tweet ratio suggests genuine engagement, suitable for DM as a peer investor.",https://x.com/elonteam42069
TheCyberhemian,The Convergence,506,909,75,True,"Authentic human with unique literary bio referencing 'Moby-Dick', specific interests in SpaceX, Tesla, and xAi indicating tech/innovation focus, and follower/following ratio suggests genuine engagement, though not explicitly an investor, high potential for alpha signal in tech convergence topics.",https://x.com/TheCyberhemian
Jekineer,Jek,507,454,75,True,"Authentic human with unique bio humor, specific professional role (Manufacturing Equipment Engineer & Technomancer), Tesla affiliation (Semi Battery @Tesla SFNV) indicating tech/industry expertise, and high tweet count (13904) suggesting active engagement. Strong investor/alpha signals from Tesla and engineering background, suitable for DM as a professional peer.",https://x.com/Jekineer
teslamonthly,Ray 𝕏 Kine Burgers,371,614,75,True,"Authentic human with unique bio combining personal interests (burgers) and investment focus (Tesla, wisdom). High investor signal from keywords like 'Investment' and 'Tesla', suggesting potential for DM engagement as a peer investor.",https://x.com/teslamonthly
CryptoNfood,Crypto 'N Food 🧑‍🍳,367,680,75,True,"Authentic human with unique bio blending crypto and food metaphors, clear personal interests, and specific mention of #Coinbase. Shows investor/alpha signals through crypto engagement and trading terminology, suitable for DM as a peer in crypto space.",https://x.com/CryptoNfood
greentechfusion,GreenTechFusion.solar,329,510,75,True,"Authentic human with specific interests in renewable energy, Tesla, and SpaceX; bio includes investor keyword and $TSLA signal, indicating potential for DM engagement as a peer in tech/investing.",https://x.com/greentechfusion
Imran_Razaq,Imran Raz,330,1058,75,True,"Authentic human with personal details (father of three boys), bio includes investor keywords (investments, finance, tech), and shows genuine interests, making them suitable for DM as a potential peer or investor.",https://x.com/Imran_Razaq
ietanalex,Alex,291,405,75,True,"Authentic human with unique personal details (Austrian CIO, Tesla Owners Club Austria, oldschool CS gamer). Strong investor/alpha signals: IT & Digitalization enthusiast, Tesla, AI, robotics, and CIO role indicate tech-savvy and potential investment interest. Suitable for DM as a professional peer in tech/innovation.",https://x.com/ietanalex
SpaceXWallets,JackieLovesFSD ♥️,214,1396,75,True,"Bio contains specific personal details (redesigned car dash in 2015, CarPlay, Car keys, app-based, Made in USA), interests in tech (FSD, AI, SpaceX, Starlink), and keywords like 'Goals' and 'Shop' suggesting entrepreneurial or investor mindset, with no generic bot-like phrases.",https://x.com/SpaceXWallets
garyjlavin,Gary Lavin,180,347,75,True,"Authentic human with personal details (family, specific interests), bio signals founder/entrepreneur with AI focus, suitable for DM as professional peer.",https://x.com/garyjlavin
WasteofAmmo,Jason C,169,1061,75,True,"Authentic human with unique bio focused on AI, abundance, and multi-planetary themes; includes personal name and specific interests (e.g., Tesla, tech), aligning with investor/alpha signals like 'Real-world AI' and space/tech keywords, suitable for professional DM.",https://x.com/WasteofAmmo
INKAMEN,Clint,145,776,75,True,"Authentic human with unique bio focused on Tesla, SpaceX, xAI, Neuralink, and cutting-edge tech, indicating genuine interest in high-tech investments. Bio includes investor-relevant keywords like 'Tesla' and 'cutting-edge tech', suggesting potential for alpha signals. Suitable for DM as a professional peer interested in tech and innovation.",https://x.com/INKAMEN
9562MARS,Manny,133,270,75,True,"Authentic human with personal details (Manny, Rio Grande Valley, God, Family), diverse interests (Builder, Insurance, XRP, World Traveler, SpaceX, Tesla, Texas), and investor/alpha signals (Builder, XRP, SpaceX, Tesla). Suitable for DM as a professional peer.",https://x.com/9562MARS
HalfBullBear,OAKLAND - Neither Bull nor Bear,102,409,75,True,"Authentic human with unique bio, specific location (OAKLAND), and personal interests in technical analysis and trading. Strong investor signals from keywords like Technical Analyst, Stock/Crypto Trader, and market-related hashtags (#BTC, #SPX, #ETH). Suitable for DM as a professional peer in finance/crypto.",https://x.com/HalfBullBear
milkkyway01,Crypto James,60,24,75,True,"Authentic human with unique bio referencing crypto and tech concepts (Zero-knowledge, Bitcoin, neural nets), likely a crypto enthusiast or investor; investor signals from 'Crypto' in name and bio, but limited follower count suggests niche focus.",https://x.com/milkkyway01
stjdjordje,Djordje Stojanovic,9,146,75,True,"Authentic human with personal details (age, profession, location, learning focus). Bio includes 'long term investor' and references to 'greatest Investors', indicating genuine interest in investing. Suitable for DM as a peer investor.",https://x.com/stjdjordje
DrVivek1886,Dr.Vivek Raskar,1119,442,70,True,"Authentic human with unique personal details (Dr.Vivek Raskar, Metabolic Physician, Senior Medical Advisor), bio includes 'Investor' and 'Techno-Enthusiastic' indicating investor/alpha signals, suitable for DM as a professional peer.",https://x.com/DrVivek1886
809trader,809 trader🇩🇴,1100,403,70,True,"Authentic human with personal details (location reference to Dominican Republic via flag, specific sports team interest), bio includes investor keyword ('Biotech investor') and personal philosophy, high tweet count suggests active engagement, suitable for DM as a professional peer in investing.",https://x.com/809trader
kinderadam,Adam Kinder,1096,1093,70,True,"Authentic human with personal details (former football player, specific university), clear Tesla affiliation (#0.3% suggests ownership/interest), and high tweet count indicating active engagement. Investor signals from Tesla involvement and potential tech/equity interest, suitable for DM as a professional peer in tech/investing circles.",https://x.com/kinderadam
NavSha,Navneet Sharma ⚡️,992,1038,70,True,"Authentic human with unique bio detailing co-founder role at Airtribe, specific past experience as Product Director at Unacademy, and personal interests in tech, science, and art. Shows investor/alpha signals through entrepreneurial keywords like 'Co-founder' and 'Product Director', indicating potential as a peer or partner for @TheCaptainEli. DM suitable for professional engagement.",https://x.com/NavSha
yonyoniz,Yonatan George,841,1147,70,True,"Authentic human with personal details (Israeli, Tel Aviv, languages), bio includes 'Building Agents' and 'Vibe Engineering' suggesting tech/entrepreneurial focus, high tweet count indicates active engagement, suitable for DM as a peer in tech/building space.",https://x.com/yonyoniz
nurav010,varun,646,859,70,True,"Authentic human with unique personal details (snowboarder, traveler, dental surgeon, founder of MDapp). Bio includes investor/builder keywords (Founder, builder, 𝕏 scientist) and diverse interests, indicating a real person with entrepreneurial and tech focus suitable for professional DM engagement.",https://x.com/nurav010
theJoshTW,Josh TW,391,112,70,True,"Authentic human with unique bio focused on energy innovation in Africa, indicating real interests and location specificity. Bio includes 'Cactus Is The New Lithium,' suggesting entrepreneurial or tech-investor mindset, aligning with investor signals like 'Builder' and 'Tech.' High tweet count supports genuine activity, suitable for DM from a professional peer.",https://x.com/theJoshTW
MU_sings,UM🐷🐔🌊⛰️🪙,306,521,70,True,"Authentic human with personal interests in AI, Tesla, and SpaceX; bio shows genuine engagement with tech trends, though lacks explicit investor keywords, suggesting potential for alpha interest.",https://x.com/MU_sings
LouisPolart,Louis Polart,234,598,70,True,"Authentic human with specific professional details (Software engineer in C++ & Python, AI enthusiast) and explicit 'Investor' keyword in bio. Moderate follower count and high tweet volume suggest genuine activity. Suitable for DM as a peer in tech/investing.",https://x.com/LouisPolart
MKing_SF,Michael King,214,636,70,True,"Authentic human with specific details: name, current role at xAI, ex-Tesla, Clemson alum. Shows tech/entrepreneurial signal, suitable for DM as professional peer.",https://x.com/MKing_SF
SarahLeePresley,Sarah Presley,202,182,70,True,"Authentic human with unique bio detailing founder/CEO role and specific interests in space exploration; investor signals from 'Founder & CEO' and tech focus, suitable for DM as a professional peer.",https://x.com/SarahLeePresley
Orbitrn,Orbitron,36,57,70,True,"Bio includes specific interests in high-tech companies (Tesla, SpaceX, etc.) and AI, which are common among tech enthusiasts and potential investors. The username and name are coherent and not generic, suggesting authenticity. However, the follower count is low, which may indicate a niche or new account rather than a high-profile investor.",https://x.com/Orbitrn
JoeShmo2pt0,Joe Shmo,1487,359,65,True,"Authentic human with personal details (Tesla owner, referral code, specific car model), investor signal from $TSLA holder mention, suitable for DM as a peer in Tesla/investing community.",https://x.com/JoeShmo2pt0
TwinNasT,TooNasT,1372,711,65,True,"Authentic human with unique bio indicating developer role and Bitcoin interest ('stacking sats'), moderate follower count, and no bot-like generic phrases; investor signals from crypto involvement but limited explicit investor keywords.",https://x.com/TwinNasT
mosetibosire,Moseti🛡️,1252,995,65,True,"Authentic human with unique bio detailing specific interests (tech, math, physics, crypto), personal expression, and location signals. Investor signals include keywords like 'crypto' and specific crypto mentions ($ZEC, $Zodler), but lacks direct investor/VC terms. High tweet count and balanced follower ratio support authenticity.",https://x.com/mosetibosire
SatoshiDegene,Castlejnr,1142,1215,65,True,"Authentic human with unique bio detailing personal growth, onchain activities, and roles like Vibecoder, streamer, and Agentic Engineer. Shows investor/alpha signals through 'onchain things' and tech-related terms, but lacks direct investor keywords like 'Investor' or 'VC'. Suitable for DM as a professional peer in tech/crypto space.",https://x.com/SatoshiDegene
TheAIObserverX,nat | localhost: auriel,1133,311,65,True,"Authentic human with personal details (name 'nat', location 'localhost: auriel', specific interests in AI/LLMs/Robots, proud Tesla owner, personal blog). Shows investor/alpha signals through tech/AI focus and Tesla ownership, but lacks direct investor keywords like 'investor' or 'VC'. DM suitable as a professional peer in tech/AI space.",https://x.com/TheAIObserverX
SkipCampbell4,Skip Campbell,1126,798,65,True,"Authentic human with personal name and bio containing disclaimers and specific interests in Energy & Health, indicating real engagement; investor signals moderate due to focus on sectors but lacks direct keywords like investor or founder.",https://x.com/SkipCampbell4
HemalParikh0,Hemal Parikh,1101,226,65,True,Authentic human with personal name and bio focused on wealth management and learning; investor signals include 'managing money to grow wealth' and high tweet volume indicating active engagement; suitable for DM as a peer interested in financial growth.,https://x.com/HemalParikh0
voidfreud,Void Freud,1099,384,65,True,"Authentic human with unique bio containing personal details (Computer Science @KingsCollegeLon) and specific interests (AI e/acc, libertarian). Shows investor/alpha signals through pro-capitalist stance and tech focus, but lacks direct investor keywords like 'Investor' or 'VC'. DM suitable as a professional peer in tech/AI space.",https://x.com/voidfreud
Tesladamu1785,Damodara Rao Pedamallu,968,144,65,True,"Authentic human with personal name and specific interests (Software Engineer, TSLA Enthusiast). Shows investor/alpha signal through TSLA focus, but not explicitly an investor. Suitable for DM as a professional peer in tech/TSLA.",https://x.com/Tesladamu1785
female_muskito,Shadowfax,934,643,65,True,"Authentic human with unique interests (Tolkien, Tesla, SpaceX), personal views, and specific hashtags; investor signals from Tesla/SpaceX keywords and entrepreneurial tone, but not explicitly an investor.",https://x.com/female_muskito
0xRuin_,0xRuin_,848,998,65,True,"Authentic human with unique bio detailing Web3/Dev, AI Tech Designer, and personal interests; investor signals from Web3 and tech focus, suitable for DM as a professional peer in tech/crypto.",https://x.com/0xRuin_
kiwithedoge,Kiwi the Tesla doge,819,1062,65,True,"Authentic human with personal details (mom, dogmom, horsemom) and specific interests in Tesla, SpaceX, xAI, Neuralink, and The Boring Company. Shows investor/alpha signals through passion for innovation and tech companies, but lacks explicit investor keywords like 'investor' or 'VC'. DM suitable as a peer interested in tech and innovation.",https://x.com/kiwithedoge
DavinciFred,Davinci Fred,810,881,65,True,"Authentic human with unique bio detailing specific interests in green tech, EVs, Tesla, and politics, indicating genuine personal engagement. Shows investor/alpha signals through focus on Tesla and tech, but lacks direct investor keywords like 'investor' or 'VC'. High tweet count suggests active user, suitable for DM from a professional peer in related fields.",https://x.com/DavinciFred
SonicCruise,Joe,739,170,65,True,"Authentic human with personal interests (Israel supporter, Elon Musk fan, Tesla, FSD tester, SpaceX), location-specific (Israel), and investor/alpha signals (Tesla, Elon Musk fan, tech focus). High tweet count suggests active engagement, but bio lacks explicit investor keywords like 'Investor' or 'VC', lowering score.",https://x.com/SonicCruise
kindcho,Chapter II,708,1212,65,True,"Authentic human with personal interests (TSLA, economic freedom, happy parenting, tech industry interest), bio includes investor signals like TSLA and tech, but not explicitly an investor or professional; suitable for DM as a peer with shared interests.",https://x.com/kindcho
getmedievalt,Jeffrey Simpson,695,700,65,True,"Authentic human with personal name and specific interests in high-tech companies (TESLA, SpaceX, Neuralink), indicating potential investor/alpha signal; bio includes a Tesla referral link, suggesting engagement with investment themes, though not explicitly labeled as an investor.",https://x.com/getmedievalt
1stOrator,Second Foundation ⚛️,644,182,65,True,"Bio shows unique personal interests (Sigma, Libertarian, specific tech topics like AI/Robots/Transhumanism) and a creative username, indicating authenticity. Investor signals are moderate due to tech focus but lack direct keywords like investor or founder; high tweet count suggests active engagement, suitable for DM from a peer in tech/AI fields.",https://x.com/1stOrator
AcceleratingTec,Accelerating.Tech,619,980,65,True,"Authentic human with personal details (Tesla owner, specific interest in electric vehicles), bio includes investor/alpha signals (Tesla, tech focus), suitable for DM as a peer in tech/EV space.",https://x.com/AcceleratingTec
NewWorldMan42,NewWorldMan,515,189,65,True,"Authentic human with personal details (Gen X, retired, technology optimist), diverse interests, and no bot-like generic content. Shows investor/alpha signals through technology focus and independent mindset, suitable for DM as a professional peer.",https://x.com/NewWorldMan42
prudent_AI,Prudent AI,509,961,65,True,"Authentic human with unique bio focusing on AI and robotics, entrepreneurial signal present, but limited direct investor keywords; suitable for professional DM.",https://x.com/prudent_AI
yourliestophere,Lies are bad,465,661,65,True,"Bio shows authentic personal expression with unique phrases (e.g., 'Missionary not Mercenary'), includes crypto-related keywords ('Crypto Geek and Evangelist'), and has a reasonable follower-following ratio, indicating a real user with potential investor interest in crypto.",https://x.com/yourliestophere
offgridalchemy,Off-Grid Alchemy,441,663,65,True,"Authentic human with unique personal details: ex-Film and ex-Game dev background, homestead interest, Hawaiian phrase, and disclaimer. Shows speculator role and diverse interests, but investor keywords are moderate (speculator only).",https://x.com/offgridalchemy
levichitekwe,Levi Chitekwe,240,417,65,True,"Authentic human with unique bio referencing market trenches and soycialism, indicating interest in markets/economics; investor signals moderate due to market-related terms but no explicit investor keywords; suitable for DM as a peer in finance/meme culture.",https://x.com/levichitekwe
Skythelimit4545,Aurora Sky,208,850,65,True,"Bio includes personal details (Aurora Sky, explorer, tech visionary, AI advocate, US flag) and unique interests, not generic bot content. Keywords like 'tech visionary' and 'AI advocate' signal potential investor/alpha interest, though not explicitly financial. High tweet count may indicate bot-like activity, but overall authenticity leans human with moderate investor potential.",https://x.com/Skythelimit4545
Teslatir,Teslatir,200,175,65,True,"Authentic human with specific interests in Tesla and Palantir, indicating potential investor/alpha signal; high tweet count suggests active engagement, but limited bio details reduce certainty.",https://x.com/Teslatir
drumrollDawg,life,194,821,65,True,"Bio shows personal expression and authenticity, not generic bot language. Investment signals present with specific stock/crypto tickers ($TSLA, $BTC, etc.), indicating active interest in markets. High tweet count and follower/following ratio suggest real engagement, though not strongly investor-focused in bio.",https://x.com/drumrollDawg
Luisito518,Luis 🇺🇸🇵🇷,146,277,65,True,"Authentic human with personal details (Software Architect, retired Air Force, father of 4, specific hobbies like RC Helicopters). Bio includes investor/alpha signals (Tesla, SpaceX, tech interests) and ownership of high-value assets (#Tesla #ModelX, #PlaidModelS), indicating potential for investment discussions. DM suitable as a professional peer in tech/EV space.",https://x.com/Luisito518
tezlawatch,Shaun Tesla Watch 🔋🔋📡🚀📯,139,355,65,True,"Authentic human with unique bio expressing personal interests in disruptive tech, robots, rockets, AI, and sustainable economy since 1998; includes Tesla reference and emojis indicating enthusiasm; moderate investor signal due to tech focus but lacks explicit investor keywords; suitable for DM as a peer in tech community.",https://x.com/tezlawatch
amn81052,Amogh,136,479,65,True,"Authentic human with personal details (PNW location, 'random life stuff'), bio includes 'Tesla' as an investor/alpha signal, but lacks direct investor keywords; suitable for DM as a peer interested in relevant topics.",https://x.com/amn81052
SambitBobby,Sambit Mohanty,136,1412,65,True,"Authentic human with diverse interests in real estate, science & technology, finance & marketing, and rational thinking; bio shows personal engagement and lacks bot-like generic phrases; investor signals from finance and technology focus, but not explicitly an investor or high-profile; suitable for DM as a professional peer.",https://x.com/SambitBobby
